date,all,long,short,net
2008-01-22,560173,241183,-36108,205075
2008-01-29,522142,237252,-31472,205780
2008-02-05,495139,234852,-31110,203742
2008-02-12,475749,240806,-34210,206596
2008-02-19,489789,251717,-39458,212259
2008-02-26,495102,250270,-40907,209363
2008-03-04,486992,240597,-44817,195780
2008-03-11,482035,239048,-42705,196343
2008-03-18,489055,232427,-40418,192009
2008-03-25,452193,214651,-38909,175742
2008-04-01,399393,190958,-29680,161278
2008-04-08,407212,196823,-31430,165393
2008-04-15,422699,202910,-30933,171977
2008-04-22,424218,201865,-34242,167623
2008-04-29,429670,194844,-34196,160648
2008-05-06,433741,192719,-36752,155967
2008-05-13,439636,197809,-44871,152938
2008-05-20,453084,216324,-34205,182119
2008-05-27,430961,220954,-29442,191512
2008-06-03,398441,200544,-30333,170211
2008-06-10,396392,189175,-37927,151248
2008-06-17,390471,180637,-29447,151190
2008-06-24,401226,190218,-36680,153538
2008-07-01,434024,223539,-35860,187679
2008-07-08,443202,225045,-35443,189602
2008-07-15,483920,240934,-38151,202783
2008-07-22,475606,231170,-36517,194653
2008-07-29,446013,212285,-29966,182319
2008-08-05,408430,192528,-28800,163728
2008-08-12,365611,159313,-28653,130660
2008-08-19,372968,144104,-31738,112366
2008-08-26,380766,147240,-41961,105279
2008-09-02,382329,139251,-46060,93191
2008-09-09,392592,133946,-51291,82655
2008-09-16,393814,147720,-57429,90291
2008-09-23,368254,156812,-35796,121016
2008-09-30,336598,141026,-23240,117786
2008-10-07,329480,137672,-26059,111613
2008-10-14,323496,131093,-24268,106825
2008-10-21,319472,125951,-26749,99202
2008-10-28,313709,117638,-39323,78315
2008-11-04,303908,118166,-49971,68195
2008-11-11,293831,116351,-52392,63959
2008-11-18,289700,111063,-46234,64829
2008-11-25,276567,115014,-33142,81872
2008-12-02,264796,111592,-27223,84369
2008-12-09,261001,111284,-28129,83155
2008-12-16,282915,132674,-24425,108249
2008-12-22,291022,141246,-21458,119788
2008-12-30,300448,146292,-20331,125961
2009-01-06,320391,152569,-18965,133604
2009-01-13,318185,146167,-18549,127618
2009-01-20,331507,146910,-22973,123937
2009-01-27,354191,165652,-24538,141114
2009-02-03,346288,181020,-25714,155306
2009-02-10,350858,188898,-25276,163622
2009-02-17,361619,195966,-30045,165921
2009-02-24,372697,199830,-37965,161865
2009-03-03,365271,189580,-30287,159293
2009-03-10,371321,178160,-33372,144788
2009-03-17,376237,175190,-24795,150395
2009-03-24,387177,178635,-26708,151927
2009-03-31,368618,182986,-28127,154859
2009-04-07,344929,165377,-37565,127812
2009-04-14,336930,165866,-35971,129895
2009-04-21,339226,164328,-35961,128367
2009-04-28,343037,166821,-37721,129100
2009-05-05,341461,171493,-41502,129991
2009-05-12,359517,184509,-45632,138877
2009-05-19,367931,185932,-36348,149584
2009-05-26,396965,209733,-32425,177308
2009-06-02,391057,215968,-28628,187340
2009-06-09,387181,215785,-26111,189674
2009-06-16,371997,202687,-27144,175543
2009-06-23,370347,195654,-29360,166294
2009-06-30,379199,194005,-29819,164186
2009-07-07,372985,190386,-26242,164144
2009-07-14,370509,185704,-26900,158804
2009-07-21,390939,201269,-27967,173302
2009-07-28,386340,199452,-26681,172771
2009-08-04,392834,217009,-23495,193514
2009-08-11,385002,211989,-21903,190086
2009-08-18,373810,203467,-25937,177530
2009-08-25,379629,205472,-22490,182982
2009-09-01,384703,206799,-22298,184501
2009-09-08,451713,251708,-27032,224676
2009-09-15,467892,263329,-27682,235647
2009-09-22,467145,265925,-29176,236749
2009-09-29,454585,252994,-21608,231386
2009-10-06,484307,269879,-30211,239668
2009-10-13,504187,288214,-34259,253955
2009-10-20,509678,286864,-36757,250107
2009-10-27,497479,272946,-31169,241777
2009-11-03,493991,279524,-38205,241319
2009-11-09,530505,280398,-42338,238060
2009-11-17,533119,284390,-48693,235697
2009-11-24,521253,294780,-32449,262331
2009-12-01,521433,297316,-38252,259064
2009-12-08,505652,290956,-36527,254429
2009-12-15,504368,288482,-32374,256108
2009-12-22,499233,273487,-35411,238076
2009-12-29,491712,263631,-33141,230490
2010-01-05,507643,263008,-35241,227767
2010-01-12,523266,271260,-41918,229342
2010-01-19,528924,261276,-39807,221469
2010-01-26,507565,246223,-34299,211924
2010-02-02,480860,246048,-35879,210169
2010-02-09,466905,222775,-41256,181519
2010-02-16,466509,224715,-35857,188858
2010-02-23,466572,233106,-32484,200622
2010-03-02,482786,239765,-32393,207372
2010-03-09,493909,240868,-32674,208194
2010-03-16,496481,239065,-38719,200346
2010-03-23,495143,221472,-37600,183872
2010-03-30,466678,209874,-36108,173766
2010-04-06,497388,242302,-38856,203446
2010-04-13,528856,262599,-41857,220742
2010-04-20,521338,251244,-40593,210651
2010-04-27,538591,263472,-37804,225668
2010-05-04,551616,271511,-40964,230547
2010-05-11,583504,282375,-46550,235825
2010-05-18,579758,281985,-50315,231670
2010-05-25,591360,271184,-43493,227691
2010-06-01,553950,266569,-42023,224546
2010-06-08,564792,270729,-43331,227398
2010-06-15,569204,273657,-43406,230251
2010-06-22,602411,283920,-45286,238634
2010-06-29,601138,279992,-35267,244725
2010-07-06,577732,251273,-42231,209042
2010-07-13,568078,243867,-38946,204921
2010-07-20,559473,227963,-49656,178307
2010-07-27,560066,228251,-39350,188901
2010-08-03,518643,222704,-37189,185515
2010-08-10,523078,224485,-33798,190687
2010-08-17,543674,240954,-36726,204228
2010-08-24,556464,256244,-35053,221191
2010-08-31,577352,272509,-34432,238077
2010-09-07,585564,275367,-35670,239697
2010-09-14,594058,286237,-41976,244261
2010-09-21,597592,286568,-42555,244013
2010-09-28,619408,297272,-39623,257649
2010-10-05,617204,300571,-40951,259620
2010-10-12,616382,304564,-48690,255874
2010-10-19,630626,299275,-49523,249752
2010-10-26,607582,283153,-44067,239086
2010-11-02,618381,282707,-52479,230228
2010-11-09,650764,298005,-51826,246179
2010-11-16,637435,267157,-48678,218479
2010-11-23,622712,261969,-40640,221329
2010-11-30,600158,265824,-38217,227607
2010-12-07,603632,269504,-36753,232751
2010-12-14,594652,259917,-39722,220195
2010-12-21,582133,251722,-45298,206424
2010-12-28,594490,258145,-42357,215788
2011-01-04,592613,250305,-47987,202318
2011-01-11,588179,234333,-56961,177372
2011-01-18,587832,237404,-72411,164993
2011-01-25,506047,232725,-72136,160589
2011-02-01,462907,212265,-61071,151194
2011-02-08,469779,226799,-59706,167093
2011-02-15,473345,230943,-58099,172844
2011-02-22,502119,246967,-66543,180424
2011-03-01,515784,257754,-60501,197253
2011-03-08,515214,253434,-62494,190940
2011-03-15,507760,240661,-66090,174571
2011-03-22,509131,231512,-56675,174837
2011-03-29,492087,242343,-49222,193121
2011-04-05,508956,259792,-55086,204706
2011-04-12,514871,261335,-59590,201745
2011-04-19,537946,274208,-59282,214926
2011-04-26,530132,260607,-59341,201266
2011-05-03,522323,259440,-66784,192656
2011-05-10,510151,240975,-64636,176339
2011-05-17,509164,227421,-62818,164603
2011-05-24,531180,240461,-68067,172394
2011-05-31,501400,247185,-55411,191774
2011-06-07,502251,251837,-53129,198708
2011-06-14,497780,247713,-56018,191695
2011-06-21,515016,262254,-59027,203227
2011-06-28,495761,225982,-60080,165902
2011-07-05,489782,219889,-62114,157775
2011-07-12,520202,262515,-64918,197597
2011-07-19,542342,277492,-58195,219297
2011-07-26,536454,278473,-42856,235617
2011-08-02,529403,291974,-44799,247175
2011-08-09,510223,259388,-55815,203573
2011-08-16,514107,263954,-63868,200086
2011-08-23,528520,258641,-70960,187681
2011-08-30,509326,237230,-60283,176947
2011-09-06,523294,248457,-64086,184371
2011-09-13,512068,235395,-66548,168847
2011-09-20,499356,212809,-62280,150529
2011-09-27,465414,181723,-53922,127801
2011-10-04,436920,180635,-47479,133156
2011-10-11,438090,179125,-44623,134502
2011-10-18,437739,175224,-48246,126978
